ID	F(x) - ANF	F(x) - Univariate F_2^7	Exponents	Status	Note
55	x0*x2+x1*x2+x0*x3+x2*x3+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x4*x6+x0+x1+x2+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
56	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x5*x6+x2+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
57	x0*x1+x1*x3+x2*x3+x0*x4+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x1+x2+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
58	x1*x2+x0*x3+x1*x3+x0*x4+x1*x4+x2*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x1+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
59	x1*x3+x2*x3+x0*x4+x1*x4+x2*x4+x3*x4+x1*x5+x3*x5+x1*x6+x2*x6+x4*x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
60	x1*x2+x0*x3+x1*x3+x2*x4+x3*x4+x2*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x1+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
61	x0*x1+x1*x2+x2*x3+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x0*x6+x3*x6+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
62	x0*x3+x1*x5+x3*x5+x1*x6+x2*x6+x4*x6+x0+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
63	x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x0*x5+x2*x5+x1*x6+x2*x6+x4	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
64	x0*x1+x1*x2+x2*x3+x1*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x0+x1+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
65	x0*x1+x1*x2+x0*x3+x1*x3+x1*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x0+x1+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
66	x0*x2+x0*x3+x1*x3+x2*x3+x0*x4+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x1+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
67	x0*x1+x0*x2+x2*x4+x3*x4+x1*x5+x3*x5+x4*x5+x0*x6+x3*x6+x4*x6+x0+x1+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
68	x0*x2+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x5*x6+x0+x1+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
69	x0*x1+x0*x2+x0*x3+x1*x3+x2*x3+x0*x4+x2*x4+x3*x4+x1*x5+x3*x5+x4*x5+x0*x6+x3*x6+x0+x1+x2+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
70	x0*x2+x1*x2+x1*x3+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x4*x6+x0+x1+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
71	x0*x3+x0*x4+x1*x5+x3*x5+x1*x6+x2*x6+x0+x2+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
72	x0*x2+x1*x2+x1*x3+x1*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x1	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
73	x0*x1+x1*x2+x0*x3+x1*x3+x0*x4+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x0*x6+x3*x6+x4*x6+x2+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
74	x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x0+x1+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
75	x0*x1+x1*x2+x2*x3+x0*x4+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x0*x6+x3*x6+x4*x6+x2+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
76	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x2*x4+x3*x4+x2*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x1+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
77	x0*x2+x1*x2+x1*x3+x0*x4+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x1*x6+x2*x6+x4*x6+x0+x2+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
78	x0*x2+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x2+x4	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
79	x0*x2+x1*x2+x1*x3+x1*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x1	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
80	x0*x3+x1*x5+x3*x5+x1*x6+x2*x6+x4*x6+x0+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
81	x0*x2+x0*x3+x1*x3+x2*x3+x1*x4+x2*x4+x3*x4+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x5*x6+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
82	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x5*x6+x2+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
83	x0*x1+x1*x2+x2*x3+x1*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x0+x1+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
84	x0*x2+x0*x4+x1*x4+x2*x4+x3*x4+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x4*x6+x5*x6+x2+x4	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
85	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x4*x6+x5*x6+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
86	x0*x1+x0*x3+x0*x4+x2*x4+x3*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x5*x6+x0+x1+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
87	x0*x2+x1*x2+x1*x3+x0*x5+x2*x5+x1*x6+x2*x6+x4*x6+x2+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
88	x0*x2+x0*x3+x1*x3+x2*x3+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x5*x6+x0+x1	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
89	x0*x1+x1*x2+x2*x3+x0*x5+x2*x5+x0*x6+x3*x6+x4*x6+x0+x2+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
90	x0*x1+x0*x2+x1*x2+x1*x3+x0*x4+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x4*x6+x5*x6+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
91	x0*x2+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x2+x4	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
92	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x1*x4+x2*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x0+x1+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
93	x0*x1+x1*x2+x0*x3+x1*x3+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x0*x6+x3*x6+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
94	x0*x1+x1*x2+x2*x3+x0*x4+x0*x5+x2*x5+x0*x6+x3*x6+x0+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
95	x0*x2+x1*x2+x0*x3+x2*x3+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x4*x6+x0+x1+x2+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
96	x0*x1+x0*x3+x0*x4+x0*x5+x1*x5+x3*x5+x0*x6+x2*x6+x5*x6+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
97	x0*x1+x1*x2+x0*x3+x1*x3+x0*x4+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x1+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
98	x0*x2+x1*x2+x1*x3+x0*x4+x1*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x4*x6+x1+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
99	x0*x1+x1*x3+x2*x3+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x5*x6+x1+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
100	x0*x2+x1*x2+x0*x3+x2*x3+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x4*x6+x0+x1+x2+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
101	x0*x1+x0*x2+x2*x4+x3*x4+x1*x5+x3*x5+x4*x5+x0*x6+x3*x6+x4*x6+x0+x1+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
102	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x4*x6+x5*x6+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
103	x0*x1+x1*x2+x2*x3+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x4*x6+x1+x2+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
104	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x2*x5+x0*x6+x2*x6+x5*x6+x0+x2+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
105	x0*x1+x1*x2+x2*x3+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x0*x6+x3*x6+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
106	x0*x1+x1*x3+x2*x3+x0*x5+x1*x5+x3*x5+x0*x6+x2*x6+x4*x6+x5*x6+x2+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
107	x0*x1+x1*x2+x2*x3+x1*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x0+x1+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
108	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x4*x6+x5*x6+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
109	x0*x1+x0*x2+x1*x2+x1*x3+x1*x4+x2*x5+x4*x5+x0*x6+x2*x6+x5*x6+x0+x1+x2+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
110	x0*x1+x1*x3+x2*x3+x0*x4+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x1+x2+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
111	x0*x2+x1*x2+x0*x3+x2*x3+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x1*x6+x2*x6+x0+x4	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
112	x0*x1+x0*x2+x1*x2+x1*x3+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x5*x6+x2+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
